#{"t_start": 1777528974.269571, "env_id": "None"}
r,l,t
-32704.818156,200,2.501311
-29292.818227,200,2.6752
-31142.356661,200,2.888097
-31340.727377,200,3.098204
-32407.681127,200,3.375371
-37046.13287,200,3.585046
-28906.65811,200,3.830027
-34985.358526,200,4.054042
-32022.571418,200,4.302875
-30371.860677,200,4.512124
-35472.804317,200,6.731457
-30496.70816,200,7.028979
-33152.488814,200,7.290096
-28935.565825,200,7.508369
-35772.972609,200,7.719069
-29230.584397,200,7.997779
-34785.66822,200,8.378736
-32546.274487,200,8.551584
-33138.62656,200,8.780728
-30617.866915,200,9.018424
-33830.260648,200,11.102125
-26833.209092,200,11.36446
-33696.911444,200,11.527591
-40440.311917,200,11.68401
-28450.754123,200,11.917496
-33558.022731,200,12.13083
-36121.83601,200,12.330167
-35422.687724,200,12.545127
-32902.970171,200,12.791528
-31359.102108,200,12.971759
-30654.382475,200,14.966184
-29820.777571,200,15.126144
-28686.583608,200,15.345298
-30617.123476,200,15.51943
-25759.725728,200,15.720972
-38099.670085,200,15.936817
-25590.654525,200,16.105074
-27211.610139,200,16.312081
-38570.974473,200,16.53803
-31784.347053,200,16.705421
-33605.184497,200,18.676411
-32190.60641,200,18.910355
-31645.229743,200,19.176423
-27913.177972,200,19.416696
-39053.118027,200,19.607334
-31066.135164,200,19.813145
-36732.62491,200,20.088365
-30544.706941,200,20.359195
-35406.637387,200,20.621466
-31405.550767,200,20.826381
-35769.791266,200,21.112914
-34864.308619,200,23.490089
-29073.893088,200,23.793451
-32690.584684,200,24.14233
-32412.306109,200,24.381136
-30713.21827,200,24.597355
-34739.587193,200,24.776024
-32281.843253,200,24.972311
-31446.523376,200,25.230484
-35947.299512,200,25.440084
-33566.361322,200,25.669072
-33365.881687,200,27.699294
-32314.641618,200,28.027594
-31808.592786,200,28.199379
-32083.093719,200,28.430814
-30246.544027,200,28.643677
-36070.958339,200,28.817412
-32577.604044,200,29.070431
-28582.376094,200,29.299646
-33540.599742,200,29.458364
-34659.53743,200,29.64439
-33082.590635,200,31.690327
-37867.500287,200,31.986901
-29604.688728,200,32.243213
-35670.356088,200,32.458861
-29180.059515,200,32.671781
-34369.036283,200,32.925402
-30708.938979,200,33.11068
-34199.546752,200,33.340358
-32973.789187,200,33.569909
-35185.314499,200,33.771089
-35381.448444,200,36.043943
-31335.528395,200,36.199595
-30558.019432,200,36.659861
-32773.914456,200,37.168986
-31935.4777,200,37.730578
-34578.39402,200,38.205205
-30296.92557,200,38.519148
-31321.030762,200,38.861748
-29888.417324,200,39.136614
-32164.171949,200,39.342129
-27984.550409,200,39.495292
-31653.399039,200,41.462824
-30383.302954,200,41.736568
-36294.383049,200,41.962255
-38067.074215,200,42.212173
-31430.857737,200,42.497134
-30763.386706,200,42.681681
-28497.040944,200,42.86219
-37927.921053,200,43.071737
-27961.533199,200,43.256108
-33119.973469,200,43.47719
-32744.881973,200,45.966863
-27917.568192,200,46.176388
-32415.90707,200,46.446759
-34467.291481,200,46.679
-30385.279507,200,46.875894
-31092.066614,200,47.129809
-32979.519791,200,47.334187
-34137.652087,200,47.556952
-37943.44701,200,47.768847
-32061.598093,200,48.031853
-30660.561308,200,49.99718
-35671.759214,200,50.22213
-38790.29564,200,50.549268
-28676.140901,200,50.76618
-31490.233974,200,51.005048
-40351.991324,200,51.278052
-32186.064821,200,51.506664
-34489.072279,200,51.725564
-36873.359243,200,51.952635
-30576.133587,200,52.210329
-35978.806683,200,54.316403
-30112.613796,200,54.53928
-29344.902696,200,54.796489
-30693.243654,200,54.954992
-31237.495626,200,55.160937
-29635.608705,200,55.365202
-35926.639251,200,55.556294
-30831.041589,200,55.837968
-32281.317582,200,56.076636
-36573.771834,200,56.352173
-34286.422989,200,56.655065
-28702.138104,200,58.490602
-32219.916177,200,58.719958
-34227.560089,200,58.99406
-29805.908433,200,59.136964
-34211.919834,200,59.360052
-32614.154811,200,59.517506
-29966.330561,200,59.751114
-31916.70228,200,59.992091
-26707.280439,200,60.239671
-36001.636527,200,60.514561
-34007.093002,200,62.528696
-32713.211243,200,62.845164
-29754.765309,200,63.074495
-28868.573068,200,63.26686
-29325.899469,200,63.489312
-28677.945719,200,63.723253
-36561.018572,200,63.942797
-29036.019002,200,64.175577
-30671.230389,200,64.382808
-32958.970529,200,64.576559
-33626.433027,200,66.357348
-37541.333716,200,66.53141
-32908.774272,200,66.844452
-31691.79729,200,67.091372
-32599.513839,200,67.307504
-31973.942134,200,67.456636
-28838.05636,200,67.615616
-34836.079521,200,67.862605
-34803.796716,200,68.055429
-34393.989459,200,68.280265
-33024.322817,200,70.282606
-28079.506023,200,70.516611
-29081.28596,200,70.77007
-27629.301018,200,70.983054
-30137.198121,200,71.201572
-31572.73677,200,71.419389
-35153.718844,200,71.641281
-32668.661121,200,71.829159
-26425.536856,200,72.069498
-34499.66485,200,72.295249
-33547.307257,200,72.506693
-31160.811846,200,74.443362
-31127.059372,200,74.665316
-30339.13416,200,74.953821
-30656.679765,200,75.168416
-29371.1964,200,75.376673
-31052.414456,200,75.564546
-29184.975118,200,75.733531
-33352.740642,200,75.936737
-32541.609781,200,76.187933
-31009.954539,200,76.383377
-26639.709164,200,78.287517
-26501.544529,200,78.626084
-37768.076223,200,78.934762
-38766.52438,200,79.134348
-29646.399684,200,79.347639
-35161.339165,200,79.572786
-32081.131794,200,79.795961
-27559.024093,200,80.059001
-31134.37932,200,80.327018
-29525.830274,200,80.580736
-30809.132296,200,82.462857
-29498.90284,200,82.638958
-30809.967231,200,82.94717
-31962.987165,200,83.132187
-29986.620536,200,83.352203
-27183.423706,200,83.559886
-35139.242937,200,83.744639
-29006.548042,200,83.976231
-28974.672164,200,84.148347
-26786.715187,200,84.329045
-31825.672881,200,86.564931
-32167.368063,200,86.749117
-33229.033486,200,87.023495
-32728.705435,200,87.286687
-28814.233615,200,87.544075
-29310.24222,200,87.742613
-36914.811129,200,87.933192
-28643.302596,200,88.159612
-30266.770974,200,88.381192
-34241.183995,200,88.570592
-34829.38771,200,88.752349
-30186.348774,200,90.768945
-28647.461279,200,90.980758
-33283.446938,200,91.164856
-31405.47605,200,91.3582
-30732.004517,200,91.534123
-31476.568263,200,91.75974
-30845.531048,200,91.952722
-31746.975333,200,92.142573
-29631.748602,200,92.325698
-29746.462857,200,92.503108
-35865.893374,200,94.233831
-32321.435752,200,94.463872
-30105.26323,200,94.651163
-30690.900258,200,94.885211
-33350.316578,200,95.123048
-29643.059372,200,95.354582
-29761.313925,200,95.649851
-30801.315072,200,95.910514
-33853.489531,200,96.19675
-31229.567546,200,96.422896
-30553.325828,200,98.295629
-32254.978273,200,98.55316
-31487.304819,200,98.752677
-24767.265954,200,98.979671
-34118.3112,200,99.177764
-36977.803026,200,99.367759
-34423.079664,200,99.607723
-30406.12699,200,99.876631
-31730.983293,200,100.126705
-26303.399111,200,100.35279
-34216.427291,200,102.209466
-33685.694751,200,102.376291
-28831.034132,200,102.560523
-28113.721999,200,102.750403
-31222.79858,200,102.995211
-34844.982074,200,103.177242
-33128.685645,200,103.370834
-35648.114657,200,103.584357
-34053.660691,200,103.754161
-29317.699412,200,103.987141
-29836.116019,200,104.2106
